Character,Chosen Tone,Review Status,Possible Source Tones,Readings,Pingshui Rhyme Group,Rhyme Group Source,Source Row Count,Notes,Chosen Ping-Ze,Source Ping-Ze,Preliminary Source
㟪,上,"=IF(B12="""",""Needs decision"",""Ready"")",上,,,,,Not found in Xun Gong source; needs manual lookup; User workbook edit 2026-09-03,"=IF(B12="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B12)),OR(ISNUMBER(SEARCH(""上"",B12)),ISNUMBER(SEARCH(""去"",B12)),ISNUMBER(SEARCH(""入"",B12)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B12)),""平"",""仄"")))","=IF(D12="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D12)),OR(ISNUMBER(SEARCH(""上"",D12)),ISNUMBER(SEARCH(""去"",D12)),ISNUMBER(SEARCH(""入"",D12)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D12)),""平"",""仄"")))",manual user correction
㠯,上,"=IF(B13="""",""Needs decision"",""Ready"")",上,yiX (B),,,1,,"=IF(B13="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B13)),OR(ISNUMBER(SEARCH(""上"",B13)),ISNUMBER(SEARCH(""去"",B13)),ISNUMBER(SEARCH(""入"",B13)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B13)),""平"",""仄"")))","=IF(D13="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D13)),OR(ISNUMBER(SEARCH(""上"",D13)),ISNUMBER(SEARCH(""去"",D13)),ISNUMBER(SEARCH(""入"",D13)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D13)),""平"",""仄"")))",
㡿,入,"=IF(B14="""",""Needs decision"",""Ready"")",入,tsyhek (D),,,1,,"=IF(B14="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B14)),OR(ISNUMBER(SEARCH(""上"",B14)),ISNUMBER(SEARCH(""去"",B14)),ISNUMBER(SEARCH(""入"",B14)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B14)),""平"",""仄"")))","=IF(D14="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D14)),OR(ISNUMBER(SEARCH(""上"",D14)),ISNUMBER(SEARCH(""去"",D14)),ISNUMBER(SEARCH(""入"",D14)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D14)),""平"",""仄"")))",
㦤,去,"=IF(B15="""",""Needs decision"",""Ready"")",去,'ijH (C),,,1,,"=IF(B15="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B15)),OR(ISNUMBER(SEARCH(""上"",B15)),ISNUMBER(SEARCH(""去"",B15)),ISNUMBER(SEARCH(""入"",B15)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B15)),""平"",""仄"")))","=IF(D15="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D15)),OR(ISNUMBER(SEARCH(""上"",D15)),ISNUMBER(SEARCH(""去"",D15)),ISNUMBER(SEARCH(""入"",D15)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D15)),""平"",""仄"")))",
㫃,上,"=IF(B16="""",""Needs decision"",""Ready"")",上,'jonX (B),,,1,,"=IF(B16="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B16)),OR(ISNUMBER(SEARCH(""上"",B16)),ISNUMBER(SEARCH(""去"",B16)),ISNUMBER(SEARCH(""入"",B16)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B16)),""平"",""仄"")))","=IF(D16="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D16)),OR(ISNUMBER(SEARCH(""上"",D16)),ISNUMBER(SEARCH(""去"",D16)),ISNUMBER(SEARCH(""入"",D16)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D16)),""平"",""仄"")))",
㬰,去,"=IF(B17="""",""Needs decision"",""Ready"")",去,gwijH (C),,,1,,"=IF(B17="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B17)),OR(ISNUMBER(SEARCH(""上"",B17)),ISNUMBER(SEARCH(""去"",B17)),ISNUMBER(SEARCH(""入"",B17)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B17)),""平"",""仄"")))","=IF(D17="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D17)),OR(ISNUMBER(SEARCH(""上"",D17)),ISNUMBER(SEARCH(""去"",D17)),ISNUMBER(SEARCH(""入"",D17)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D17)),""平"",""仄"")))",
㯔,去,"=IF(B18="""",""Needs decision"",""Ready"")",去,tsrhjwejH (C),,,1,,"=IF(B18="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B18)),OR(ISNUMBER(SEARCH(""上"",B18)),ISNUMBER(SEARCH(""去"",B18)),ISNUMBER(SEARCH(""入"",B18)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B18)),""平"",""仄"")))","=IF(D18="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D18)),OR(ISNUMBER(SEARCH(""上"",D18)),ISNUMBER(SEARCH(""去"",D18)),ISNUMBER(SEARCH(""入"",D18)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D18)),""平"",""仄"")))",
㯟,入,"=IF(B19="""",""Needs decision"",""Ready"")",入,luwk (D),,,1,,"=IF(B19="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B19)),OR(ISNUMBER(SEARCH(""上"",B19)),ISNUMBER(SEARCH(""去"",B19)),ISNUMBER(SEARCH(""入"",B19)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B19)),""平"",""仄"")))","=IF(D19="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D19)),OR(ISNUMBER(SEARCH(""上"",D19)),ISNUMBER(SEARCH(""去"",D19)),ISNUMBER(SEARCH(""入"",D19)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D19)),""平"",""仄"")))",
㳄,平,"=IF(B20="""",""Needs decision"",""Ready"")",平,zjen (A),,,1,,"=IF(B20="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B20)),OR(ISNUMBER(SEARCH(""上"",B20)),ISNUMBER(SEARCH(""去"",B20)),ISNUMBER(SEARCH(""入"",B20)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B20)),""平"",""仄"")))","=IF(D20="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D20)),OR(ISNUMBER(SEARCH(""上"",D20)),ISNUMBER(SEARCH(""去"",D20)),ISNUMBER(SEARCH(""入"",D20)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D20)),""平"",""仄"")))",
㴑,去,"=IF(B21="""",""Needs decision"",""Ready"")",去,suH (C),,,1,,"=IF(B21="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B21)),OR(ISNUMBER(SEARCH(""上"",B21)),ISNUMBER(SEARCH(""去"",B21)),ISNUMBER(SEARCH(""入"",B21)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B21)),""平"",""仄"")))","=IF(D21="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D21)),OR(ISNUMBER(SEARCH(""上"",D21)),ISNUMBER(SEARCH(""去"",D21)),ISNUMBER(SEARCH(""入"",D21)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D21)),""平"",""仄"")))",
