Character,Chosen Tone,Review Status,Possible Source Tones,Readings,Pingshui Rhyme Group,Rhyme Group Source,Source Row Count,Notes,Chosen Ping-Ze,Source Ping-Ze,Preliminary Source
歐,平,"=IF(B2037="""",""Needs decision"",""Ready"")",平,,下平聲十一尤; 上聲二十五有,"Pingshui main list, Wikisource-derived DOCX",,Manual user correction/addition,"=IF(B2037="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2037)),OR(ISNUMBER(SEARCH(""上"",B2037)),ISNUMBER(SEARCH(""去"",B2037)),ISNUMBER(SEARCH(""入"",B2037)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2037)),""平"",""仄"")))","=IF(D2037="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2037)),OR(ISNUMBER(SEARCH(""上"",D2037)),ISNUMBER(SEARCH(""去"",D2037)),ISNUMBER(SEARCH(""入"",D2037)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2037)),""平"",""仄"")))",manual user correction
歙,入,"=IF(B2038="""",""Needs decision"",""Ready"")",入,xip (D),入聲十四緝; 入聲十六葉,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2038="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2038)),OR(ISNUMBER(SEARCH(""上"",B2038)),ISNUMBER(SEARCH(""去"",B2038)),ISNUMBER(SEARCH(""入"",B2038)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2038)),""平"",""仄"")))","=IF(D2038="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2038)),OR(ISNUMBER(SEARCH(""上"",D2038)),ISNUMBER(SEARCH(""去"",D2038)),ISNUMBER(SEARCH(""入"",D2038)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2038)),""平"",""仄"")))",
歛,平,"=IF(B2039="""",""Needs decision"",""Ready"")",平,xam [χɑm] (平),去聲二十九豔,"Pingshui main list, Wikisource-derived DOCX",1,Tang 300 gap; frequency 1; provisional from Xun Gong,"=IF(B2039="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2039)),OR(ISNUMBER(SEARCH(""上"",B2039)),ISNUMBER(SEARCH(""去"",B2039)),ISNUMBER(SEARCH(""入"",B2039)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2039)),""平"",""仄"")))","=IF(D2039="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2039)),OR(ISNUMBER(SEARCH(""上"",D2039)),ISNUMBER(SEARCH(""去"",D2039)),ISNUMBER(SEARCH(""入"",D2039)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2039)),""平"",""仄"")))","Xun Gong, Tang 300 gap fill"
歠,入,"=IF(B2040="""",""Needs decision"",""Ready"")",入,tsyhwet (D),入聲九屑,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2040="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2040)),OR(ISNUMBER(SEARCH(""上"",B2040)),ISNUMBER(SEARCH(""去"",B2040)),ISNUMBER(SEARCH(""入"",B2040)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2040)),""平"",""仄"")))","=IF(D2040="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2040)),OR(ISNUMBER(SEARCH(""上"",D2040)),ISNUMBER(SEARCH(""去"",D2040)),ISNUMBER(SEARCH(""入"",D2040)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2040)),""平"",""仄"")))",
歡,平,"=IF(B2041="""",""Needs decision"",""Ready"")",平,xwan (A),上平聲十四寒,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2041="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2041)),OR(ISNUMBER(SEARCH(""上"",B2041)),ISNUMBER(SEARCH(""去"",B2041)),ISNUMBER(SEARCH(""入"",B2041)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2041)),""平"",""仄"")))","=IF(D2041="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2041)),OR(ISNUMBER(SEARCH(""上"",D2041)),ISNUMBER(SEARCH(""去"",D2041)),ISNUMBER(SEARCH(""入"",D2041)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2041)),""平"",""仄"")))",
止,上,"=IF(B2042="""",""Needs decision"",""Ready"")",上,tsyiX (B),上聲四紙,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2042="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2042)),OR(ISNUMBER(SEARCH(""上"",B2042)),ISNUMBER(SEARCH(""去"",B2042)),ISNUMBER(SEARCH(""入"",B2042)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2042)),""平"",""仄"")))","=IF(D2042="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2042)),OR(ISNUMBER(SEARCH(""上"",D2042)),ISNUMBER(SEARCH(""去"",D2042)),ISNUMBER(SEARCH(""入"",D2042)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2042)),""平"",""仄"")))",
正,去,"=IF(B2043="""",""Needs decision"",""Ready"")",平/去,tsyeng (A); tsyengH (C),下平聲八庚; 去聲二十四敬,"Pingshui main list, Wikisource-derived DOCX",2,User workbook edit 2026-09-03,"=IF(B2043="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2043)),OR(ISNUMBER(SEARCH(""上"",B2043)),ISNUMBER(SEARCH(""去"",B2043)),ISNUMBER(SEARCH(""入"",B2043)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2043)),""平"",""仄"")))","=IF(D2043="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2043)),OR(ISNUMBER(SEARCH(""上"",D2043)),ISNUMBER(SEARCH(""去"",D2043)),ISNUMBER(SEARCH(""入"",D2043)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2043)),""平"",""仄"")))",manual user correction
此,上,"=IF(B2044="""",""Needs decision"",""Ready"")",上,tshjeX (B),上聲四紙,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2044="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2044)),OR(ISNUMBER(SEARCH(""上"",B2044)),ISNUMBER(SEARCH(""去"",B2044)),ISNUMBER(SEARCH(""入"",B2044)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2044)),""平"",""仄"")))","=IF(D2044="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2044)),OR(ISNUMBER(SEARCH(""上"",D2044)),ISNUMBER(SEARCH(""去"",D2044)),ISNUMBER(SEARCH(""入"",D2044)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2044)),""平"",""仄"")))",
步,去,"=IF(B2045="""",""Needs decision"",""Ready"")",去,buH (C),去聲七遇,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2045="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2045)),OR(ISNUMBER(SEARCH(""上"",B2045)),ISNUMBER(SEARCH(""去"",B2045)),ISNUMBER(SEARCH(""入"",B2045)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2045)),""平"",""仄"")))","=IF(D2045="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2045)),OR(ISNUMBER(SEARCH(""上"",D2045)),ISNUMBER(SEARCH(""去"",D2045)),ISNUMBER(SEARCH(""入"",D2045)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2045)),""平"",""仄"")))",
武,上,"=IF(B2046="""",""Needs decision"",""Ready"")",上,mjuX (B),上聲七麌,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2046="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2046)),OR(ISNUMBER(SEARCH(""上"",B2046)),ISNUMBER(SEARCH(""去"",B2046)),ISNUMBER(SEARCH(""入"",B2046)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2046)),""平"",""仄"")))","=IF(D2046="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2046)),OR(ISNUMBER(SEARCH(""上"",D2046)),ISNUMBER(SEARCH(""去"",D2046)),ISNUMBER(SEARCH(""入"",D2046)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2046)),""平"",""仄"")))",
歧,平,"=IF(B2047="""",""Needs decision"",""Ready"")",平,gjie (A),上平聲四支,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2047="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2047)),OR(ISNUMBER(SEARCH(""上"",B2047)),ISNUMBER(SEARCH(""去"",B2047)),ISNUMBER(SEARCH(""入"",B2047)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2047)),""平"",""仄"")))","=IF(D2047="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2047)),OR(ISNUMBER(SEARCH(""上"",D2047)),ISNUMBER(SEARCH(""去"",D2047)),ISNUMBER(SEARCH(""入"",D2047)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2047)),""平"",""仄"")))",
歲,去,"=IF(B2048="""",""Needs decision"",""Ready"")",去,sjwejH (C),去聲八霽,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2048="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2048)),OR(ISNUMBER(SEARCH(""上"",B2048)),ISNUMBER(SEARCH(""去"",B2048)),ISNUMBER(SEARCH(""入"",B2048)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2048)),""平"",""仄"")))","=IF(D2048="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2048)),OR(ISNUMBER(SEARCH(""上"",D2048)),ISNUMBER(SEARCH(""去"",D2048)),ISNUMBER(SEARCH(""入"",D2048)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2048)),""平"",""仄"")))",
歷,入,"=IF(B2049="""",""Needs decision"",""Ready"")",入,lek (D),入聲十二錫,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2049="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2049)),OR(ISNUMBER(SEARCH(""上"",B2049)),ISNUMBER(SEARCH(""去"",B2049)),ISNUMBER(SEARCH(""入"",B2049)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2049)),""平"",""仄"")))","=IF(D2049="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2049)),OR(ISNUMBER(SEARCH(""上"",D2049)),ISNUMBER(SEARCH(""去"",D2049)),ISNUMBER(SEARCH(""入"",D2049)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2049)),""平"",""仄"")))",
歸,平,"=IF(B2050="""",""Needs decision"",""Ready"")",平,kjw+j (A),上平聲五微,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2050="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2050)),OR(ISNUMBER(SEARCH(""上"",B2050)),ISNUMBER(SEARCH(""去"",B2050)),ISNUMBER(SEARCH(""入"",B2050)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2050)),""平"",""仄"")))","=IF(D2050="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2050)),OR(ISNUMBER(SEARCH(""上"",D2050)),ISNUMBER(SEARCH(""去"",D2050)),ISNUMBER(SEARCH(""入"",D2050)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2050)),""平"",""仄"")))",
死,上,"=IF(B2051="""",""Needs decision"",""Ready"")",上,sijX (B),上聲四紙,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2051="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2051)),OR(ISNUMBER(SEARCH(""上"",B2051)),ISNUMBER(SEARCH(""去"",B2051)),ISNUMBER(SEARCH(""入"",B2051)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2051)),""平"",""仄"")))","=IF(D2051="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2051)),OR(ISNUMBER(SEARCH(""上"",D2051)),ISNUMBER(SEARCH(""去"",D2051)),ISNUMBER(SEARCH(""入"",D2051)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2051)),""平"",""仄"")))",
歾,入,"=IF(B2052="""",""Needs decision"",""Ready"")",入,mwot (D),,,1,,"=IF(B2052="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2052)),OR(ISNUMBER(SEARCH(""上"",B2052)),ISNUMBER(SEARCH(""去"",B2052)),ISNUMBER(SEARCH(""入"",B2052)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2052)),""平"",""仄"")))","=IF(D2052="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2052)),OR(ISNUMBER(SEARCH(""上"",D2052)),ISNUMBER(SEARCH(""去"",D2052)),ISNUMBER(SEARCH(""入"",D2052)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2052)),""平"",""仄"")))",
歿,入,"=IF(B2053="""",""Needs decision"",""Ready"")",入,mwot (D),入聲六月,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2053="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2053)),OR(ISNUMBER(SEARCH(""上"",B2053)),ISNUMBER(SEARCH(""去"",B2053)),ISNUMBER(SEARCH(""入"",B2053)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2053)),""平"",""仄"")))","=IF(D2053="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2053)),OR(ISNUMBER(SEARCH(""上"",D2053)),ISNUMBER(SEARCH(""去"",D2053)),ISNUMBER(SEARCH(""入"",D2053)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2053)),""平"",""仄"")))",
殃,平,"=IF(B2054="""",""Needs decision"",""Ready"")",平,'jang (A),下平聲七陽,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2054="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2054)),OR(ISNUMBER(SEARCH(""上"",B2054)),ISNUMBER(SEARCH(""去"",B2054)),ISNUMBER(SEARCH(""入"",B2054)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2054)),""平"",""仄"")))","=IF(D2054="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2054)),OR(ISNUMBER(SEARCH(""上"",D2054)),ISNUMBER(SEARCH(""去"",D2054)),ISNUMBER(SEARCH(""入"",D2054)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2054)),""平"",""仄"")))",
殄,上,"=IF(B2055="""",""Needs decision"",""Ready"")",上,denX (B),上聲十六銑,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2055="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2055)),OR(ISNUMBER(SEARCH(""上"",B2055)),ISNUMBER(SEARCH(""去"",B2055)),ISNUMBER(SEARCH(""入"",B2055)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2055)),""平"",""仄"")))","=IF(D2055="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2055)),OR(ISNUMBER(SEARCH(""上"",D2055)),ISNUMBER(SEARCH(""去"",D2055)),ISNUMBER(SEARCH(""入"",D2055)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2055)),""平"",""仄"")))",
殆,上,"=IF(B2056="""",""Needs decision"",""Ready"")",上,dojX (B),上聲十賄,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2056="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2056)),OR(ISNUMBER(SEARCH(""上"",B2056)),ISNUMBER(SEARCH(""去"",B2056)),ISNUMBER(SEARCH(""入"",B2056)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2056)),""平"",""仄"")))","=IF(D2056="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2056)),OR(ISNUMBER(SEARCH(""上"",D2056)),ISNUMBER(SEARCH(""去"",D2056)),ISNUMBER(SEARCH(""入"",D2056)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2056)),""平"",""仄"")))",
殉,去,"=IF(B2057="""",""Needs decision"",""Ready"")",去,zwinH (C),去聲十二震,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2057="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2057)),OR(ISNUMBER(SEARCH(""上"",B2057)),ISNUMBER(SEARCH(""去"",B2057)),ISNUMBER(SEARCH(""入"",B2057)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2057)),""平"",""仄"")))","=IF(D2057="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2057)),OR(ISNUMBER(SEARCH(""上"",D2057)),ISNUMBER(SEARCH(""去"",D2057)),ISNUMBER(SEARCH(""入"",D2057)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2057)),""平"",""仄"")))",
殊,平,"=IF(B2058="""",""Needs decision"",""Ready"")",平,dzyu (A),上平聲七虞,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2058="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2058)),OR(ISNUMBER(SEARCH(""上"",B2058)),ISNUMBER(SEARCH(""去"",B2058)),ISNUMBER(SEARCH(""入"",B2058)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2058)),""平"",""仄"")))","=IF(D2058="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2058)),OR(ISNUMBER(SEARCH(""上"",D2058)),ISNUMBER(SEARCH(""去"",D2058)),ISNUMBER(SEARCH(""入"",D2058)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2058)),""平"",""仄"")))",
殖,入,"=IF(B2059="""",""Needs decision"",""Ready"")",入,dzyik (D),入聲十三職,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2059="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2059)),OR(ISNUMBER(SEARCH(""上"",B2059)),ISNUMBER(SEARCH(""去"",B2059)),ISNUMBER(SEARCH(""入"",B2059)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2059)),""平"",""仄"")))","=IF(D2059="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2059)),OR(ISNUMBER(SEARCH(""上"",D2059)),ISNUMBER(SEARCH(""去"",D2059)),ISNUMBER(SEARCH(""入"",D2059)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2059)),""平"",""仄"")))",
殘,平,"=IF(B2060="""",""Needs decision"",""Ready"")",平,dzan (A),上平聲十四寒,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2060="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2060)),OR(ISNUMBER(SEARCH(""上"",B2060)),ISNUMBER(SEARCH(""去"",B2060)),ISNUMBER(SEARCH(""入"",B2060)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2060)),""平"",""仄"")))","=IF(D2060="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2060)),OR(ISNUMBER(SEARCH(""上"",D2060)),ISNUMBER(SEARCH(""去"",D2060)),ISNUMBER(SEARCH(""入"",D2060)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2060)),""平"",""仄"")))",
殞,上,"=IF(B2061="""",""Needs decision"",""Ready"")",上,hwinX [wɨ̯inʔ] (上),上聲十一軫,"Pingshui main list, Wikisource-derived DOCX",1,Tang 300 gap; frequency 1; provisional from Xun Gong,"=IF(B2061="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2061)),OR(ISNUMBER(SEARCH(""上"",B2061)),ISNUMBER(SEARCH(""去"",B2061)),ISNUMBER(SEARCH(""入"",B2061)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2061)),""平"",""仄"")))","=IF(D2061="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2061)),OR(ISNUMBER(SEARCH(""上"",D2061)),ISNUMBER(SEARCH(""去"",D2061)),ISNUMBER(SEARCH(""入"",D2061)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2061)),""平"",""仄"")))","Xun Gong, Tang 300 gap fill"
殣,去,"=IF(B2062="""",""Needs decision"",""Ready"")",去,ginH (C),去聲十二震,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2062="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2062)),OR(ISNUMBER(SEARCH(""上"",B2062)),ISNUMBER(SEARCH(""去"",B2062)),ISNUMBER(SEARCH(""入"",B2062)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2062)),""平"",""仄"")))","=IF(D2062="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2062)),OR(ISNUMBER(SEARCH(""上"",D2062)),ISNUMBER(SEARCH(""去"",D2062)),ISNUMBER(SEARCH(""入"",D2062)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2062)),""平"",""仄"")))",
殲,平,"=IF(B2063="""",""Needs decision"",""Ready"")",平,tsjem [tsjem] (平),下平聲十四鹽,"Pingshui main list, Wikisource-derived DOCX",1,Tang 300 gap; frequency 1; provisional from Xun Gong,"=IF(B2063="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2063)),OR(ISNUMBER(SEARCH(""上"",B2063)),ISNUMBER(SEARCH(""去"",B2063)),ISNUMBER(SEARCH(""入"",B2063)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2063)),""平"",""仄"")))","=IF(D2063="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2063)),OR(ISNUMBER(SEARCH(""上"",D2063)),ISNUMBER(SEARCH(""去"",D2063)),ISNUMBER(SEARCH(""入"",D2063)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2063)),""平"",""仄"")))","Xun Gong, Tang 300 gap fill"
殳,平,"=IF(B2064="""",""Needs decision"",""Ready"")",平,dzyu (A),上平聲七虞,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2064="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2064)),OR(ISNUMBER(SEARCH(""上"",B2064)),ISNUMBER(SEARCH(""去"",B2064)),ISNUMBER(SEARCH(""入"",B2064)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2064)),""平"",""仄"")))","=IF(D2064="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2064)),OR(ISNUMBER(SEARCH(""上"",D2064)),ISNUMBER(SEARCH(""去"",D2064)),ISNUMBER(SEARCH(""入"",D2064)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2064)),""平"",""仄"")))",
段,去,"=IF(B2065="""",""Needs decision"",""Ready"")",去,twanH (C),去聲十五翰,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2065="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2065)),OR(ISNUMBER(SEARCH(""上"",B2065)),ISNUMBER(SEARCH(""去"",B2065)),ISNUMBER(SEARCH(""入"",B2065)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2065)),""平"",""仄"")))","=IF(D2065="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2065)),OR(ISNUMBER(SEARCH(""上"",D2065)),ISNUMBER(SEARCH(""去"",D2065)),ISNUMBER(SEARCH(""入"",D2065)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2065)),""平"",""仄"")))",
殷,平,"=IF(B2066="""",""Needs decision"",""Ready"")",平,'ean (A); 'j+n (A),上平聲十二文; 上平聲十五刪; 上聲十二吻,"Pingshui main list, Wikisource-derived DOCX",2,,"=IF(B2066="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2066)),OR(ISNUMBER(SEARCH(""上"",B2066)),ISNUMBER(SEARCH(""去"",B2066)),ISNUMBER(SEARCH(""入"",B2066)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2066)),""平"",""仄"")))","=IF(D2066="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2066)),OR(ISNUMBER(SEARCH(""上"",D2066)),ISNUMBER(SEARCH(""去"",D2066)),ISNUMBER(SEARCH(""入"",D2066)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2066)),""平"",""仄"")))",
殸,去,"=IF(B2067="""",""Needs decision"",""Ready"")",去,khengH (C),,,1,,"=IF(B2067="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2067)),OR(ISNUMBER(SEARCH(""上"",B2067)),ISNUMBER(SEARCH(""去"",B2067)),ISNUMBER(SEARCH(""入"",B2067)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2067)),""平"",""仄"")))","=IF(D2067="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2067)),OR(ISNUMBER(SEARCH(""上"",D2067)),ISNUMBER(SEARCH(""去"",D2067)),ISNUMBER(SEARCH(""入"",D2067)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2067)),""平"",""仄"")))",
殺,入,"=IF(B2068="""",""Needs decision"",""Ready"")",去/入,sreat (D); sreajH (C),去聲十卦; 入聲八黠,"Pingshui main list, Wikisource-derived DOCX",2,,"=IF(B2068="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2068)),OR(ISNUMBER(SEARCH(""上"",B2068)),ISNUMBER(SEARCH(""去"",B2068)),ISNUMBER(SEARCH(""入"",B2068)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2068)),""平"",""仄"")))","=IF(D2068="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2068)),OR(ISNUMBER(SEARCH(""上"",D2068)),ISNUMBER(SEARCH(""去"",D2068)),ISNUMBER(SEARCH(""入"",D2068)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2068)),""平"",""仄"")))",
殼,入,"=IF(B2069="""",""Needs decision"",""Ready"")",入,khaewk (D),入聲三覺,"Pingshui main list, Wikisource-derived DOCX",1,,"=IF(B2069="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2069)),OR(ISNUMBER(SEARCH(""上"",B2069)),ISNUMBER(SEARCH(""去"",B2069)),ISNUMBER(SEARCH(""入"",B2069)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2069)),""平"",""仄"")))","=IF(D2069="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2069)),OR(ISNUMBER(SEARCH(""上"",D2069)),ISNUMBER(SEARCH(""去"",D2069)),ISNUMBER(SEARCH(""入"",D2069)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2069)),""平"",""仄"")))",
殿,去,"=IF(B2070="""",""Needs decision"",""Ready"")",去,denH (C); tenH (C),去聲十七霰,"Pingshui main list, Wikisource-derived DOCX",2,,"=IF(B2070="""","""",IF(AND(ISNUMBER(SEARCH(""平"",B2070)),OR(ISNUMBER(SEARCH(""上"",B2070)),ISNUMBER(SEARCH(""去"",B2070)),ISNUMBER(SEARCH(""入"",B2070)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",B2070)),""平"",""仄"")))","=IF(D2070="""","""",IF(AND(ISNUMBER(SEARCH(""平"",D2070)),OR(ISNUMBER(SEARCH(""上"",D2070)),ISNUMBER(SEARCH(""去"",D2070)),ISNUMBER(SEARCH(""入"",D2070)))),""Ambiguous"",IF(ISNUMBER(SEARCH(""平"",D2070)),""平"",""仄"")))",
